"";"gene_id";"gene_type"
"26515";"ENSG00000268674.1";"protein_coding"
"26522";"ENSG00000225710.1";"pseudogene"
"26527";"ENSG00000266584.1";"miRNA"
"26530";"ENSG00000219481.6";"protein_coding"
"26701";"ENSG00000271732.1";"lincRNA"
"26704";"ENSG00000215908.5";"lincRNA"
"26729";"ENSG00000186301.7";"pseudogene"
"26778";"ENSG00000207513.1";"snRNA"
"26781";"ENSG00000237847.2";"protein_coding"
"26788";"ENSG00000264742.1";"miRNA"
"26791";"ENSG00000236698.1";"pseudogene"
"26794";"ENSG00000268869.1";"pseudogene"
"26827";"ENSG00000268991.1";"protein_coding"
"26834";"ENSG00000058453.12";"protein_coding"
"27043";"ENSG00000207389.1";"snRNA"
"27046";"ENSG00000227684.1";"pseudogene"
"27052";"ENSG00000186715.6";"pseudogene"
"27110";"ENSG00000223643.2";"lincRNA"
"27120";"ENSG00000230239.1";"lincRNA"
"27125";"ENSG00000263811.1";"miRNA"
"27128";"ENSG00000228549.2";"lincRNA"
"27143";"ENSG00000238142.1";"lincRNA"
"27153";"ENSG00000235241.1";"pseudogene"
"27156";"ENSG00000207005.1";"snRNA"
"27159";"ENSG00000272426.1";"lincRNA"
"27162";"ENSG00000117122.9";"protein_coding"
"27255";"ENSG00000226526.1";"antisense"
"27259";"ENSG00000159363.13";"protein_coding"
"27583";"ENSG00000117118.5";"protein_coding"
"27642";"ENSG00000117115.8";"protein_coding"
"27751";"ENSG00000252180.1";"misc_RNA"
"27754";"ENSG00000204362.5";"lincRNA"
"27759";"ENSG00000142623.8";"protein_coding"
"27852";"ENSG00000142619.4";"protein_coding"
"27890";"ENSG00000266634.1";"miRNA"
"27893";"ENSG00000159339.9";"protein_coding"
"27958";"ENSG00000269468.1";"protein_coding"
"27972";"ENSG00000256049.2";"processed_transcript"
"28008";"ENSG00000227751.1";"antisense"
